sog,twd,cog,tws,mainsheet_length,jibsheet_length,cunningham_length,main_halyard_length,jib_halyard_length,outhaul_length,vang_length,traveller_length,tcd_low,tcd_med,tcd_high,image_name
6.24,39.62,154.14,3.6,1.0,0.5,0.63,1.5,1.0,1.15,0.4,0.17,"[11.39, 0.25, 0.42]","[23.73, 0.54, 0.86]","[18.53, 0.21, 0.42]",mainsail_0.jpg
14.31,82.05,347.99,4.32,2.0,0.5,1.07,1.5,1.0,2.0,1.3,0.17,"[8.46, 0.63, 0.34]","[1.28, 0.86, 0.55]","[1.54, 0.71, 0.52]",mainsail_1.jpg
11.25,153.75,346.89,2.42,2.0,2.0,0.63,1.5,1.0,2.0,1.3,-0.33,"[13.39, 0.8, 0.77]","[23.01, 0.09, 0.87]","[13.21, 0.55, 0.38]",mainsail_2.jpg
9.38,294.48,307.07,4.17,1.0,1.0,0.63,1.5,1.0,2.0,1.75,0.5,"[2.1, 0.12, 0.84]","[24.52, 0.48, 0.41]","[6.34, 0.86, 0.39]",mainsail_3.jpg
3.18,309.85,106.0,17.71,1.0,1.5,0.63,1.5,1.0,1.15,1.3,0.17,"[9.24, 0.29, 0.65]","[5.25, 0.63, 0.66]","[8.15, 0.02, 0.12]",mainsail_4.jpg
3.18,2.5,138.63,3.64,2.0,0.5,1.07,1.5,1.0,1.15,1.3,-0.17,"[28.53, 0.67, 0.95]","[11.86, 0.21, 0.89]","[1.8, 0.37, 0.21]",mainsail_5.jpg
1.81,183.86,306.4,9.34,1.0,2.5,1.5,1.5,1.0,0.72,0.4,0.33,"[27.53, 0.23, 0.07]","[24.37, 0.6, 0.38]","[24.02, 0.74, 0.25]",mainsail_6.jpg
13.13,150.26,114.09,21.43,2.0,2.5,1.07,1.5,1.0,1.58,1.75,-0.33,"[29.05, 0.51, 0.92]","[5.42, 0.85, 0.53]","[16.73, 0.47, 0.83]",mainsail_7.jpg
9.42,79.96,61.02,2.54,2.0,2.0,0.2,1.5,1.0,0.3,2.2,0.17,"[27.4, 0.95, 0.8]","[29.97, 0.11, 0.98]","[3.55, 0.65, 0.76]",mainsail_8.jpg
10.91,43.15,200.44,20.73,2.5,1.0,1.07,1.5,1.0,2.0,0.4,-0.33,"[28.3, 0.91, 0.99]","[15.47, 0.27, 0.1]","[23.98, 0.16, 0.48]",mainsail_9.jpg
1.29,121.54,337.01,8.48,0.5,0.5,1.07,1.5,1.0,0.72,0.4,0.0,"[2.88, 0.71, 0.53]","[22.79, 0.06, 0.52]","[14.38, 0.51, 0.55]",mainsail_10.jpg
14.58,339.44,250.56,4.72,2.0,1.0,1.07,1.5,1.0,0.3,2.2,-0.5,"[11.9, 0.7, 0.43]","[3.0, 0.23, 0.12]","[24.6, 0.3, 0.02]",mainsail_11.jpg
12.65,116.35,205.22,18.02,1.5,0.5,1.07,1.5,1.0,0.72,1.3,0.33,"[6.63, 0.84, 0.85]","[14.44, 0.21, 0.5]","[13.52, 0.29, 0.09]",mainsail_12.jpg
3.97,186.76,34.98,16.47,3.0,2.0,1.5,1.5,1.0,1.15,0.85,-0.33,"[17.02, 0.11, 0.98]","[26.37, 0.09, 0.67]","[0.52, 0.95, 0.55]",mainsail_13.jpg
