sog,twd,cog,tws,mainsheet_length,jibsheet_length,cunningham_length,main_halyard_length,jib_halyard_length,outhaul_length,vang_length,traveller_length,tcd_low,tcd_med,tcd_high,image_name
6.24,319.34,309.02,22.63,3.0,2.5,0.63,1.5,1.0,0.72,2.2,-0.17,0.7,0.96,0.64,mainsail_0.jpg
14.31,280.75,154.43,12.9,1.0,0.5,0.2,1.5,1.0,0.3,0.4,0.0,20.61,0.96,6.79,mainsail_1.jpg
11.25,231.12,270.31,17.35,0.5,0.5,0.2,1.5,1.0,0.72,1.75,0.33,0.15,0.69,6.79,mainsail_2.jpg
9.38,30.29,271.63,5.96,0.5,1.5,0.2,1.5,1.0,1.58,0.4,-0.33,20.61,4.41,6.79,mainsail_3.jpg
3.18,58.18,37.12,6.42,2.0,2.0,1.07,1.5,1.0,1.58,2.2,-0.17,20.61,4.41,0.64,mainsail_4.jpg
3.18,323.47,324.91,2.94,1.5,1.0,1.5,1.5,1.0,2.0,0.85,-0.17,0.7,0.96,0.64,mainsail_5.jpg
1.81,218.31,181.89,5.89,2.0,1.0,0.63,1.5,1.0,2.0,2.2,0.33,20.61,4.41,0.61,mainsail_6.jpg
13.13,3.31,297.52,8.41,2.0,2.5,1.07,1.5,1.0,1.58,1.75,0.33,0.15,0.96,0.64,mainsail_7.jpg
9.42,36.53,115.21,6.07,2.0,2.5,1.5,1.5,1.0,1.58,2.2,-0.33,20.61,0.69,0.64,mainsail_8.jpg
10.91,238.85,322.38,4.04,2.0,1.0,1.07,1.5,1.0,1.58,1.75,-0.33,0.7,0.96,6.79,mainsail_9.jpg
1.29,1.82,140.11,4.77,2.5,2.5,0.63,1.5,1.0,0.72,1.75,0.33,0.7,0.96,0.61,mainsail_10.jpg
14.58,57.89,3.9,12.6,2.5,1.5,1.5,1.5,1.0,1.58,1.75,-0.5,0.15,0.69,0.64,mainsail_11.jpg
12.65,197.54,325.93,6.75,1.0,1.0,1.07,1.5,1.0,1.15,1.75,-0.17,0.7,4.41,0.64,mainsail_12.jpg
3.97,249.08,32.86,10.38,0.5,2.5,0.63,1.5,1.0,0.3,1.75,0.17,20.61,0.96,6.79,mainsail_13.jpg
3.55,234.7,114.95,13.58,2.0,1.0,0.2,1.5,1.0,1.58,0.85,-0.33,0.7,0.96,6.79,mainsail_14.jpg
3.57,80.73,342.01,17.88,1.0,2.0,0.63,1.5,1.0,0.3,0.4,-0.33,0.15,0.69,0.64,mainsail_15.jpg
5.26,256.38,342.21,2.9,0.5,0.5,0.2,1.5,1.0,0.72,1.3,0.33,0.7,4.41,0.61,mainsail_16.jpg
8.35,85.41,206.43,20.39,3.0,1.0,1.07,1.5,1.0,0.3,0.4,0.0,0.7,0.96,0.61,mainsail_17.jpg
7.05,117.14,227.46,16.44,1.5,0.5,1.5,1.5,1.0,0.72,1.75,0.17,0.7,0.69,6.79,mainsail_18.jpg
5.08,268.73,161.44,3.88,2.5,2.5,1.5,1.5,1.0,1.15,0.85,0.17,0.15,0.96,6.79,mainsail_19.jpg
9.57,233.86,105.55,22.09,3.0,0.5,1.07,1.5,1.0,0.72,2.2,-0.33,0.7,0.69,0.64,mainsail_20.jpg
2.95,305.71,118.32,23.18,0.5,1.0,1.5,1.5,1.0,0.72,0.85,-0.5,0.7,4.41,6.79,mainsail_21.jpg
5.09,236.73,242.1,3.4,3.0,2.0,1.5,1.5,1.0,2.0,1.75,0.0,20.61,4.41,0.64,mainsail_22.jpg
6.13,204.59,270.85,8.37,1.5,2.5,0.2,1.5,1.0,1.58,0.85,0.17,0.15,4.41,0.61,mainsail_23.jpg
7.38,33.72,284.96,20.54,0.5,1.0,1.07,1.5,1.0,1.58,0.85,-0.33,0.7,4.41,0.61,mainsail_24.jpg
11.99,132.37,284.25,19.21,3.0,2.5,0.63,1.5,1.0,1.15,1.75,0.17,0.15,0.96,0.64,mainsail_25.jpg
3.8,95.47,32.83,6.24,2.5,1.5,0.2,1.5,1.0,1.15,0.85,0.5,0.7,0.96,6.79,mainsail_26.jpg
8.2,87.83,177.99,6.82,2.5,0.5,1.07,1.5,1.0,1.58,1.3,0.0,0.7,4.41,0.61,mainsail_27.jpg
9.29,350.27,20.72,10.52,1.0,1.5,0.2,1.5,1.0,2.0,1.3,0.0,0.7,4.41,6.79,mainsail_28.jpg
1.65,141.51,197.82,13.14,3.0,1.0,0.63,1.5,1.0,1.58,0.85,0.5,20.61,4.41,0.61,mainsail_29.jpg
9.51,321.13,158.95,16.22,2.0,2.0,0.63,1.5,1.0,2.0,2.2,-0.17,20.61,0.96,0.64,mainsail_30.jpg
3.39,227.2,319.56,10.49,3.0,2.5,1.07,1.5,1.0,1.15,1.75,0.5,20.61,4.41,0.64,mainsail_31.jpg
1.91,286.12,126.33,12.64,0.5,0.5,0.63,1.5,1.0,0.3,1.3,0.33,0.15,4.41,0.64,mainsail_32.jpg
14.28,180.94,42.14,19.19,0.5,2.5,0.2,1.5,1.0,1.15,2.2,0.33,0.15,4.41,0.61,mainsail_33.jpg
14.52,207.68,51.48,2.84,3.0,1.0,0.63,1.5,1.0,1.15,0.85,-0.33,20.61,0.69,6.79,mainsail_34.jpg
12.32,177.3,274.14,7.81,1.5,2.5,0.2,1.5,1.0,0.72,2.2,0.0,0.15,4.41,6.79,mainsail_35.jpg
5.26,70.29,222.55,18.41,2.5,0.5,0.2,1.5,1.0,0.72,0.4,-0.17,0.7,0.69,6.79,mainsail_36.jpg
2.37,260.08,36.4,22.59,0.5,1.0,0.63,1.5,1.0,0.72,1.3,-0.17,0.7,0.69,0.61,mainsail_37.jpg
10.58,101.08,30.28,13.77,2.5,2.5,1.07,1.5,1.0,0.72,0.85,0.17,0.7,4.41,0.61,mainsail_38.jpg
7.16,8.75,252.34,14.24,0.5,2.0,1.5,1.5,1.0,2.0,1.75,0.17,20.61,0.69,0.61,mainsail_39.jpg
2.71,232.36,26.19,4.46,1.0,1.0,0.63,1.5,1.0,1.58,0.85,0.5,0.15,4.41,0.61,mainsail_40.jpg
7.93,63.76,295.86,12.29,2.0,1.0,0.2,1.5,1.0,0.3,1.75,-0.17,20.61,0.96,0.61,mainsail_41.jpg
1.48,338.56,254.24,14.25,0.5,2.0,0.2,1.5,1.0,1.15,0.85,0.5,0.15,0.96,6.79,mainsail_42.jpg
13.73,343.4,29.28,7.58,2.5,1.5,0.63,1.5,1.0,2.0,2.2,0.5,0.7,0.96,0.61,mainsail_43.jpg
4.62,329.34,30.54,8.19,1.0,0.5,1.07,1.5,1.0,0.3,2.2,0.17,20.61,0.96,0.61,mainsail_44.jpg
10.28,133.25,355.18,10.68,0.5,1.5,1.07,1.5,1.0,2.0,2.2,0.0,0.15,0.69,6.79,mainsail_45.jpg
5.36,5.56,134.73,2.46,1.5,2.5,0.2,1.5,1.0,2.0,0.4,0.5,0.15,4.41,0.61,mainsail_46.jpg
8.28,334.19,133.43,9.41,2.0,2.0,0.2,1.5,1.0,1.15,1.75,-0.5,0.7,4.41,6.79,mainsail_47.jpg
8.65,154.14,292.6,6.86,0.5,1.5,1.07,1.5,1.0,1.58,2.2,0.0,20.61,4.41,6.79,mainsail_48.jpg
3.59,347.99,341.0,9.53,1.0,1.0,1.5,1.5,1.0,0.72,0.4,-0.17,20.61,0.96,0.64,mainsail_49.jpg
14.57,346.89,354.95,4.75,1.5,2.5,0.63,1.5,1.0,1.58,1.75,-0.17,20.61,0.96,0.64,mainsail_50.jpg
11.85,307.07,271.21,22.48,3.0,2.5,0.2,1.5,1.0,1.15,0.85,0.5,0.7,4.41,0.64,mainsail_51.jpg
14.15,106.0,135.45,15.65,1.0,1.5,0.2,1.5,1.0,1.15,0.4,0.0,20.61,0.96,0.64,mainsail_52.jpg
13.53,138.63,30.06,17.62,1.0,1.5,1.07,1.5,1.0,1.15,1.3,0.17,0.7,4.41,0.61,mainsail_53.jpg
9.37,306.4,279.77,20.15,1.5,2.0,0.63,1.5,1.0,0.3,0.4,0.17,0.7,4.41,0.64,mainsail_54.jpg
13.91,114.09,201.02,13.46,1.0,0.5,1.07,1.5,1.0,1.58,0.4,0.33,0.7,4.41,6.79,mainsail_55.jpg
2.24,61.02,152.72,4.0,1.5,1.5,0.63,1.5,1.0,1.58,1.75,-0.17,0.15,4.41,0.61,mainsail_56.jpg
3.74,200.44,326.28,14.35,0.5,1.5,0.63,1.5,1.0,2.0,0.85,-0.33,20.61,4.41,0.64,mainsail_57.jpg
1.63,337.01,40.03,15.5,1.5,1.0,0.63,1.5,1.0,2.0,1.3,0.33,20.61,4.41,6.79,mainsail_58.jpg
5.55,250.56,177.34,19.15,1.5,2.5,0.2,1.5,1.0,2.0,2.2,0.17,0.7,4.41,0.61,mainsail_59.jpg
6.44,205.22,4.09,11.93,2.0,0.5,1.5,1.5,1.0,1.15,2.2,0.0,0.7,0.96,0.61,mainsail_60.jpg
4.8,34.98,168.71,4.93,1.5,1.0,1.07,1.5,1.0,1.58,0.4,0.17,20.61,4.41,0.64,mainsail_61.jpg
12.6,221.4,20.27,8.53,1.5,2.0,1.5,1.5,1.0,1.15,1.75,0.0,0.7,4.41,0.61,mainsail_62.jpg
5.99,356.41,42.77,10.35,3.0,2.0,1.07,1.5,1.0,0.3,1.75,0.33,20.61,0.96,6.79,mainsail_63.jpg
4.93,50.43,42.31,16.86,0.5,1.5,0.63,1.5,1.0,2.0,2.2,-0.17,0.15,0.96,0.61,mainsail_64.jpg
8.6,186.59,233.71,15.13,2.0,1.5,0.2,1.5,1.0,1.15,1.3,0.17,0.7,0.96,6.79,mainsail_65.jpg
2.97,315.85,268.57,10.19,3.0,2.0,1.5,1.5,1.0,1.15,0.85,0.5,20.61,4.41,0.61,mainsail_66.jpg
12.23,266.67,210.01,24.69,2.5,1.5,0.2,1.5,1.0,0.3,1.3,0.0,0.7,0.69,0.64,mainsail_67.jpg
2.04,250.92,346.37,15.93,0.5,0.5,1.07,1.5,1.0,0.72,0.85,-0.17,20.61,0.69,6.79,mainsail_68.jpg
14.82,252.89,134.95,7.46,0.5,1.5,0.2,1.5,1.0,1.58,2.2,-0.33,20.61,0.96,0.61,mainsail_69.jpg
11.81,129.41,102.85,4.34,2.5,2.5,0.2,1.5,1.0,0.72,0.85,0.0,0.7,0.69,0.61,mainsail_70.jpg
3.78,105.69,312.69,5.52,1.5,1.5,1.5,1.5,1.0,2.0,1.75,0.33,0.15,0.96,0.61,mainsail_71.jpg
1.08,291.36,80.49,7.66,3.0,1.0,0.63,1.5,1.0,1.15,0.4,-0.33,20.61,4.41,6.79,mainsail_72.jpg
12.42,291.63,346.75,5.7,1.0,0.5,0.2,1.5,1.0,0.3,0.4,-0.33,20.61,0.69,6.79,mainsail_73.jpg
10.9,312.14,4.38,6.29,2.0,1.0,0.63,1.5,1.0,0.3,2.2,-0.5,20.61,4.41,6.79,mainsail_74.jpg
11.21,328.76,349.15,8.56,1.0,1.0,1.07,1.5,1.0,1.58,1.75,0.17,0.15,0.69,0.64,mainsail_75.jpg
11.8,184.08,15.54,5.99,2.5,2.5,0.2,1.5,1.0,0.72,1.3,0.0,0.15,4.41,0.64,mainsail_76.jpg
2.04,180.54,320.8,22.63,0.5,0.5,1.5,1.5,1.0,1.58,1.75,-0.33,0.7,0.69,6.79,mainsail_77.jpg
6.02,287.38,189.97,3.85,0.5,0.5,1.07,1.5,1.0,1.15,0.4,-0.5,0.15,4.41,0.61,mainsail_78.jpg
